Title,URL,Pub_Date,PoCOrganisation,Format,General classification of dataset type,Topic or theme,classification_and_access_restrictions,Point of contact,Contact Publisher,Publication status
Soils of the Burdekin River - Big Bend to Fanning Downs - North Queensland - CTAP,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={99156D7C-C05D-4B11-B4D7-72FB3ADD0D41},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soils of the Burdekin-Townsville Region - ZEB,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={9A7FC398-8788-42F7-8122-9B662CDB3ECE},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soils of the former CSIRO Wycanna Woodland Experiment Centre Plots - Southern Queensland - ZWWE,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={98009A99-46E1-457B-A588-13E86F38C0C5},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soils of the Lower Burdekin Valley - Redbank to Bob's Creek and south to Bowen River - BSA,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={D00BB5D8-4B2C-48A5-A1E9-A9E06C3ADFFB},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
"Soils of the Roma area, Southern Queensland - ROM",http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={4011790F-ACAB-4498-B2AD-390007471337},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soils of the Southern Burnett area - Burnett Mary region - SBT,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={43E8F370-B984-4B63-B71C-198E3AE1F145},28/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soils series,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={6D1E085F-28B4-4F10-810C-9047EF1523E0},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Springs - Active - Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={560953BE-9205-4E3E-A77A-BEE322C89FF0},30/07/2018,Department of Environment and Science,Esri File Geodatabase,Dataset,FRESHWATER SPRINGS,OFFICIAL,Katherine Glanville,Department of Environment and Science,completed
Springs - Inactive - Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={12C0F8DD-A35E-47BA-8CAF-CA347643E937},30/07/2018,Department of Environment and Science,Esri File Geodatabase,Dataset,FRESHWATER SPRINGS,OFFICIAL,Katherine Glanville,Department of Environment and Science,completed
Springs - Queensland series,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={5E7B07B0-5EFB-4F8A-9115-499EB456093E},30/07/2018,Department of Environment and Science,CSV,Dataset,FRESHWATER SPRINGS,OFFICIAL,Katherine Glanville,Department of Environment and Science,completed
Statewide landcover and trees study 1988 to 1991 Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={85456A87-8EC0-4BC3-8E3D-6B43A4B21A6F},4/06/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Statewide landcover and trees study 1991 to 1995 Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={6ABD3677-6726-4A7A-8E30-FC300B836123},4/06/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Statewide landcover and trees study 1995 to 1997 Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={AD47BCD9-B3B3-4853-AE05-175CE6168AFE},4/06/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Statewide landcover and trees study 1997 to 1999 Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={4F921DF6-E156-4FFE-8E98-17274032A305},4/06/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Statewide landcover and trees study 1999 to 2000 Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={72C2D91B-F329-4C54-BA0A-C6949469C7A4},4/06/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Statewide landcover and trees study 2000 to 2001 Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={1800A2F5-BE60-46D9-95FE-75FFAB991647},4/06/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Statewide landcover and trees study 2001 to 2002 Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={96973B3A-11D4-4354-B260-8752C1A9B4E9},4/06/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Statewide landcover and trees study 2002 to 2003 Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={CC4493CB-62DA-451D-AF2C-E53935B443D4},4/06/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Statewide landcover and trees study 2003 to 2004 Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={5107F687-3B58-47E8-9B1D-7DEC0964660F},4/06/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Statewide landcover and trees study 2004 to 2005 Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={D2E18790-0188-4DE0-A002-600790640A8B},4/06/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Statewide landcover and trees study 2005 to 2006 Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={985D4114-A3CB-4C88-AC57-FDE6D0BDCCD3},4/06/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Statewide landcover and trees study 2006 to 2007 Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={ECAF4170-1204-4C65-97B6-D45C203A80B7},4/06/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Statewide landcover and trees study 2007 to 2008 Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={CAA42201-16DE-4A2E-88E7-2CD97ECA07C1},4/06/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Statewide landcover and trees study 2008 to 2009 Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={EA67BB20-6926-4785-92AF-A0DE488744CE},4/06/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Statewide landcover and trees study 2009 to 2010 Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={96CF3A7E-4144-4468-8858-7D987A04357D},4/06/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Statewide landcover and trees study 2010 to 2011 Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={6C83170F-4B59-4AE7-BC4F-337E7CA748DF},24/04/2015,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Statewide landcover and trees study 2011 to 2012 Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={7F6D1C34-F273-4AF3-9A9B-C4B514F480A0},24/04/2015,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Statewide landcover and trees study 2012 to 2013 Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={57C9B833-9166-4321-84D7-A90973872CE8},12/11/2015,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Statewide landcover and trees study 2013 to 2014 Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={4766FCA0-ACD5-440D-9FB6-5D02EDDF737B},12/11/2015,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Statewide landcover and trees study 2014 to 2015 Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={7FD3F7CC-04CD-4DF6-B513-D76420A41D53},5/08/2016,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Statewide landcover and trees study 2015 to 2016 Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={9DC56088-00E5-4474-BA85-A1EC35CCFCD9},5/10/2017,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Statewide landcover and trees study 2016 to 2017 Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={B7A7C438-FE68-479A-ABBD-A38F9915C131},10/12/2018,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Statewide landcover and trees study 2017 to 2018 Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={7F9F8073-0AB0-4564-B224-0CED88737446},10/12/2018,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Statewide Landcover and Trees Study Queensland series,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={BFE72491-2233-4FDF-8F6A-274E49F42FDC},12/06/2013,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
The vegetation communities of the Capricornia Cays - Southeast Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={B4B15167-1B4D-428C-9775-EBD541D34414},25/05/2012,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION,OFFICIAL,John Neldner,Department of Environment and Science,completed
The vegetation of the tropical savannas - Australia,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={1C66CF84-52E5-4CB5-B5C0-7A2E193DB552},16/09/2014,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION,OFFICIAL,John Neldner,Department of Environment and Science,completed
Tsunami modelling along the east Queensland coast - Hervey Bay,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={CF1BDCA0-8E62-40C0-AFE7-B16EE47D6102},7/07/2014,Department of Environment and Science,Esri File Geodatabase,Dataset,TSUNAMIS,OFFICIAL,Paul Boswood,Department of Environment and Science,completed
Tsunami modelling along the east Queensland coast - Moreton Bay,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={515C6027-52F5-488D-8BD6-52CEADF2838E},7/07/2014,Department of Environment and Science,Esri File Geodatabase,Dataset,TSUNAMIS,OFFICIAL,Paul Boswood,Department of Environment and Science,completed
Wetland data - version 5 - Queensland series,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={986BE78D-FA59-4A9E-92C5-8626E50CF3A8},14/06/2019,Department of Environment and Science,Esri File Geodatabase,Dataset,WETLANDS,OFFICIAL,Katherine Glanville,Department of Environment and Science,completed
Wetland data - version 5 - wetland areas - Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={135EB151-D406-4094-9E9F-40ABC5AA0C7B},14/06/2019,Department of Environment and Science,Esri File Geodatabase,Dataset,WETLANDS,OFFICIAL,Katherine Glanville,Department of Environment and Science,completed
Wetland data - version 5 - wetland lines - Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={E81999CD-7E85-4B4C-928E-E4E8BE27A161},14/06/2019,Department of Environment and Science,Esri File Geodatabase,Dataset,WETLANDS,OFFICIAL,Katherine Glanville,Department of Environment and Science,completed
Wetland data - version 5 - wetland points - Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={304CC1F5-51C8-4633-946E-2D1A49428894},14/06/2019,Department of Environment and Science,Esri File Geodatabase,Dataset,WETLANDS,OFFICIAL,Katherine Glanville,Department of Environment and Science,completed
WildNet wildlife records - published - Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={40D75ED6-3959-41EB-A5C8-E563FA5B66CA},21/05/2018,Department of Environment and Science,Esri File Geodatabase,Dataset,MACROFAUNA,OFFICIAL,Noleen Brown,Department of Environment and Science,completed
Wooded extent and foliage projective cover - Queensland 2012,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={D126AF96-788B-454B-BC0B-70AD9770EC05},10/02/2016,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Wooded extent and foliage projective cover - Queensland 2013,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={06795BB9-178E-4A87-B1EF-D2B57C513976},29/10/2015,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Wooded extent and foliage projective cover code layer - Queensland 2012,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={135154E3-F977-4201-B94A-7DA30DBC8C94},10/02/2016,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Wooded extent and foliage projective cover code layer - Queensland 2013,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={297D32FD-6713-4B6A-A150-B89593CEE046},29/10/2015,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
